timestamp,node_id,lat,lon,temperature,pressure,humidity,rainfall_mm,wind_speed,pressure_drop_5,pressure_drop_15,humidity_change_15,cloud_env_pwv,cloud_env_cloud_base,cloud_env_radar_dbz,cloud_env_echo_top,cloud_env_lightning,cloud_env_sat_bt,cloud_env_ctc,cloud_env_moisture_column,cloud_env_convective_index,micro_lwc,micro_droplet_size,micro_vertical_wind,micro_turbulence,micro_moisture_gradient,micro_temp_gradient,burst_dbz_growth,burst_updraft_surge,burst_lightning_burst,burst_lwc_spike,burst_drop_collapse,burst_rainfall_burst,stage,risk_score,notes
2017-07-20 00:00:00,node0,30.2,78.0,27.446,1008.231,70.044,0.0008,6.97,0.0,0.0,0.0,66.053,2997.3,10.342,3985.2,0,291.574,0.09391,0,0,0.3944,0.9904,2.8809,0.8534,3.8483,1.6565,2.1593,5.9904,2,1.0336,0.5598,4.0484,1,12.049,
2017-07-20 00:00:00,node1,30.205,78.005,27.5431,1008.5876,66.9409,0.0008,5.6756,0.0,0.0,0.0,66.053,2997.3,10.342,3985.2,0,291.574,0.09391,0,0,0.543,0.964,2.884,0.9735,3.8458,1.6762,2.991,4.5494,3,0.9892,0.4846,4.5693,1,2.82,
2017-07-20 00:00:00,node2,30.21,78.01,27.224,1009.6683,67.036,0.0009,8.6864,0.0,0.0,0.0,66.053,2997.3,10.342,3985.2,0,291.574,0.09391,0,0,0.5996,0.9613,3.029,0.8752,3.7353,1.3392,1.202,5.6523,3,0.753,0.5489,4.9648,1,22.544,
2017-07-20 00:00:00,node3,30.195,77.995,27.4152,1007.358,73.6484,0.0009,6.8131,0.0,0.0,0.0,66.053,2997.3,10.342,3985.2,0,291.574,0.09391,0,0,0.3534,1.0174,2.7492,1.119,3.8936,1.4357,2.2333,5.416,2,1.0727,0.5794,4.3257,1,13.931,
2017-07-20 00:00:00,node4,30.215,78.015,27.5186,1009.1507,73.5864,0.0008,6.7315,0.0,0.0,0.0,66.053,2997.3,10.342,3985.2,0,291.574,0.09391,0,0,0.6353,1.0036,3.1203,0.9829,4.0731,1.4414,2.2388,6.0913,2,1.107,0.403,5.6907,1,12.073,
2017-07-20 00:00:00,node0,30.2,78.0,27.446,1008.231,70.044,0.0008,6.97,0.0,0.0,0.0,66.053,2997.3,10.342,3985.2,0,291.574,0.09391,0,0,0.5414,1.0359,2.7811,1.1564,4.2308,1.5327,2.0235,6.8317,2,0.8306,0.4682,4.4348,1,22.056,
2017-07-20 00:00:00,node1,30.205,78.005,26.8861,1007.4922,72.2858,0.0006,6.8476,0.0,0.0,0.0,66.053,2997.3,10.342,3985.2,0,291.574,0.09391,0,0,0.5188,1.0443,3.2633,1.0961,3.7962,1.4829,2.9088,6.3634,2,1.132,0.5152,5.5961,1,14.743,
2017-07-20 00:00:00,node2,30.21,78.01,27.7965,1009.232,66.8143,0.0008,7.1727,0.0,0.0,0.0,66.053,2997.3,10.342,3985.2,0,291.574,0.09391,0,0,0.649,0.9683,2.8205,1.0524,4.001,1.455,2.4719,6.6942,2,0.9071,0.5932,4.2809,1,13.176,
2017-07-20 00:00:00,node3,30.195,77.995,27.044,1006.9166,70.9154,0.0006,7.2319,0.0,0.0,0.0,66.053,2997.3,10.342,3985.2,0,291.574,0.09391,0,0,0.4337,1.0196,3.153,0.9753,4.0836,1.4939,2.3472,7.092,2,0.8957,0.5694,5.5749,1,26.581,
2017-07-20 00:00:00,node4,30.215,78.015,27.6987,1007.9624,67.7723,0.0009,7.1279,0.0,0.0,0.0,66.053,2997.3,10.342,3985.2,0,291.574,0.09391,0,0,0.4127,0.9832,3.1696,0.9296,3.8458,1.4227,2.8817,5.1554,2,0.8347,0.4644,5.8887,1,12.06,
